Data_source,CAMHID,Site,SiteCode,Region,Year,Century,century_recode,d13C_whole_oto,d18O_whole_oto,d13C_juv,d18O_juv,d13C_adult,d18O_adult,Age_yr,Oto_section_diameter_mm,Estimated_fishlength_cm,VonB_fishlength_cm,VonB_residual,G_index,O18_Reynolds
CAMH,43,Gufuskalar,GFS,W,1470,15,15,-1.8,3.81, , , , ,12,9.78,90.19170372,104.92,-1.227358024,0.859623558,3.58
CAMH,44,Gufuskalar,GFS,W,1470,15,15,-1.29,3.69, , , , ,9,7.34,60.9402923,90.24,-3.255523077,0.675313523,3.58
CAMH,45,Gufuskalar,GFS,W,1470,15,15,-0.84,3.26, , , , ,16,10.62,100.9368634,118.86,-1.120196036,0.849208005,3.58
CAMH,46,Gufuskalar,GFS,W,1470,15,15,-0.09,3.79, , , , ,12,10.31,96.93375841,104.92,-0.665520133,0.923882562,3.58
CAMH,47,Gufuskalar,GFS,W,1470,15,15,-1.97,3.63, , , , ,13,9.44,85.93606418,108.93,-1.768764294,0.788910899,3.58
CAMH,48,Gufuskalar,GFS,W,1470,15,15,-2.25,3.33, , , , ,12,9.49,86.55842816,104.92,-1.530130987,0.82499455,3.58
CAMH,49,Gufuskalar,GFS,W,1470,15,15,-0.81,3.48, , , , ,7,8.17,70.54383154,77.77,-1.03230978,0.907082828,3.58
CAMH,50,Gufuskalar,GFS,W,1470,15,15,-0.99,2.96, , , , ,15,9.8,90.44374452,115.87,-1.695083699,0.780562221,3.58
CAMH,51,Gufuskalar,GFS,W,1470,15,15,-0.15,2.6, , , , ,12,9.81,90.56983556,104.92,-1.195847036,0.86322756,3.58
CAMH,52,Gufuskalar,GFS,W,1470,15,15,-1.55,3.52, , , , ,14,9.96,92.46683049,112.56,-1.435226394,0.821489255,3.58
CAMH,53,Gufuskalar,GFS,W,1470,15,15,-0.47,3.38, , , , ,7,8.51,74.58431308,77.77,-0.455098132,0.959037072,3.58
CAMH,54,Gufuskalar,GFS,W,1470,15,15,-1.22,3, , , , ,8,8.92,79.53569973,84.31,-0.596787533,0.943372076,3.58
CAMH,55,Gufuskalar,GFS,W,1470,15,15,-1.58,3.85, , , , ,11,10.21,95.65174092,100.49,-0.439841735,0.951853328,3.58
CAMH,56,Gufuskalar,GFS,W,1470,15,15,-1.15,3.05, , , , ,10,10.33,97.19070991,95.61,0.158070991,1.016532893,3.58
CAMH,57,Gufuskalar,GFS,W,1470,15,15,-0.48,3.46, , , , ,12,10.5,99.38212936,104.92,-0.46148922,0.94721816,3.58
CAMH,58,Gufuskalar,GFS,W,1470,15,15,-1.26,4.12, , , , ,24,9.62,88.1821866,134.67,-1.936992225,0.654802009,3.58
CAMH,59,Gufuskalar,GFS,W,1470,15,15,-1.18,3.3, , , , ,9,9.14,82.22733568,90.24,-0.890296036,0.911207177,3.58
CAMH,60,Gufuskalar,GFS,W,1470,15,15,-0.61,3.09, , , , ,8,8.79,77.9565334,84.31,-0.794183325,0.924641601,3.58
CAMH,61,Gufuskalar,GFS,W,1470,15,15,-1.01,3.84, , , , ,8,8.96,80.02329991,84.31,-0.535837511,0.949155497,3.58
CAMH,62,Gufuskalar,GFS,W,1470,15,15,-0.72,3.26, , , , ,10, , ,95.61, , ,3.58
CAMH,63,Gufuskalar,GFS,W,1470,15,15,-0.08,3.94, , , , ,13,9.85,91.07466994,108.93,-1.373486927,0.836084366,3.58
CAMH,64,Gufuskalar,GFS,W,1470,15,15,-1.21,3.97, , , , ,12,10.77,102.8893363,104.92,-0.169221973,0.9806456,3.58
CAMH,65,Gufuskalar,GFS,W,1470,15,15,-0.02,4.03, , , , ,11,9.09,81.61349561,100.49,-1.716045854,0.812155395,3.58
CAMH,66,Akurvik,AK30,NW,1250,13,13.5,1.03,4.03, , , , ,12,6.71,53.90967054,104.92,-4.250860788,0.513816913,3.64
CAMH,67,Akurvik,AK30,NW,1250,13,13.5,-0.7,3.73, , , , ,11, , ,100.49, , ,3.64
CAMH,69,Akurvik,AK30,NW,1250,13,13.5,-1.97,4.08, , , , ,12,8.53,74.82385707,104.92,-2.508011911,0.713151516,3.64
CAMH,70,Akurvik,AK30,NW,1250,13,13.5,-0.42,3.36, , , , ,12,7.11,58.34687354,104.92,-3.881093872,0.556108211,3.64
CAMH,71,Akurvik,AK30,NW,1250,13,13.5,-0.73,3.74, , , , ,10,8.71,76.98897097,95.61,-1.862102903,0.805239734,3.64
CAMH,72,Akurvik,AK30,NW,1250,13,13.5,-1.71,3.44, , , , ,16,10.08,93.99198079,118.86,-1.554251201,0.790778906,3.64
CAMH,73,Akurvik,AK30,NW,1250,13,13.5,-1.13,2.95, , , , ,9,8.6,75.66387855,90.24,-1.61956905,0.838473831,3.64
CAMH,74,Akurvik,AK30,NW,1250,13,13.5,0.08,3.41, , , , ,12,8.15,70.30804284,104.92,-2.884329763,0.670110969,3.64
CAMH,75,Akurvik,AK30,NW,1250,13,13.5,-1.7,3.72, , , , ,11,9.7,89.18542869,100.49,-1.027688301,0.88750551,3.64
CAMH,76,Akurvik,AK30,NW,1250,13,13.5,-0.46,3.49, , , , ,14,6.71,53.90967054,112.56,-4.189309247,0.478941636,3.64
CAMH,77,Akurvik,AK30,NW,1250,13,13.5,0.21,3.08, , , , ,14,7.74,65.52150546,112.56,-3.359892467,0.582102927,3.64
CAMH,78,Akurvik,AK30,NW,1250,13,13.5,0.5,3.22, , , , ,9,8.7,76.86825359,90.24,-1.485749601,0.851820186,3.64
CAMH,79,Akurvik,AK22,NW,1460,15,15,-0.3,3.63, , , , ,15,6.5,51.61825994,115.87,-4.283449337,0.445484249,3.73
CAMH,80,Akurvik,AK22,NW,1460,15,15,-1.52,2.9, , , , ,13,8.17,70.54383154,108.93,-2.952782189,0.647607009,3.73
CAMH,81,Akurvik,AK22,NW,1460,15,15,-1.6,3.27, , , , ,11,8.47,74.10584328,100.49,-2.398559701,0.737444953,3.73
CAMH,82,Akurvik,AK22,NW,1460,15,15,-1.58,2.89, , , , ,7,8.74,77.35142736,77.77,-0.059796091,0.994617814,3.73
CAMH,83,Akurvik,AK22,NW,1460,15,15,-1.22,3.35, , , , ,12,10.7,101.9769352,104.92,-0.245255402,0.971949439,3.73
CAMH,84,Akurvik,AK22,NW,1460,15,15,-0.49,2.39, , , , ,13,8.74,77.35142736,108.93,-2.429120972,0.710102152,3.73
CAMH,85,Akurvik,AK22,NW,1460,15,15,-0.4,3.4, , , , ,8, , ,84.31, , ,3.73
CAMH,86,Akurvik,AK22,NW,1460,15,15,-0.98,2.13, , , , ,7,7.1,58.23480419,77.77,-2.790742259,0.748808078,3.73
CAMH,87,Akurvik,AK22,NW,1460,15,15,-0.51,1.41, , , , ,9,7.04,57.56360277,90.24,-3.630710804,0.637894534,3.73
CAMH,88,Akurvik,AK22,NW,1460,15,15,-0.56,2.54, , , , ,13,8.14,70.19022785,108.93,-2.979982473,0.644360854,3.73
CAMH,89,Akurvik,AK22,NW,1460,15,15,-0.99,3.73, , , , ,14,9.07,81.36830501,112.56,-2.227978213,0.722888282,3.73
CAMH,90,Akurvik,AK22,NW,1460,15,15,-0.43,3.85, , , , ,9,6.83,55.23093512,90.24,-3.889896097,0.612044937,3.73
CAMH,91,Akurvik,AK22,NW,1460,15,15,-0.84,3.3, , , , ,14,8.57,75.3035617,112.56,-2.661174164,0.669008189,3.73
CAMH,92,Akurvik,AK22,NW,1460,15,15,-0.23,3.09, , , , ,8,8.5,74.4646183,84.31,-1.230672713,0.883224034,3.73
CAMH,94,Akurvik,AK22,NW,1460,15,15,-1.22,1.93, , , , ,6,6.69,53.69029523,70.56,-2.811617462,0.760916882,3.73
CAMH,95,Akurvik,AK22,NW,1460,15,15,-1.01,2.81, , , , ,10,9.15,82.35025146,95.61,-1.325974854,0.861314208,3.73
CAMH,96,Akurvik,AK22,NW,1460,15,15,-1.23,3.49, , , , ,11,8.28,71.84443855,100.49,-2.60414195,0.714941174,3.73
CAMH,97,Akurvik,AK22,NW,1460,15,15,-1.01,3.84, , , , ,10,8.94,79.77940001,95.61,-1.583059999,0.834425269,3.73
CAMH,98,Akurvik,AK22,NW,1460,15,15,-1.41,3.82, , , , ,9,7.2,59.35808827,90.24,-3.431323526,0.657780233,3.73
CAMH,99,Akurvik,AK22,NW,1460,15,15,-1.18,2.97, , , , ,12,8.55,75.06360671,104.92,-2.488032774,0.715436587,3.73
CAMH,100,Akurvik,AK22,NW,1460,15,15,-1.3,3.6, , , , ,7,6.68,53.58069751,77.77,-3.455614642,0.688963579,3.73
CAMH,101,Akurvik,AK22,NW,1460,15,15,-1.29,3.3, , , , ,8,8.31,72.20025204,84.31,-1.513718495,0.85636641,3.73
CAMH,102,Akurvik,AK22,NW,1460,15,15,-1.07,3.52, , , , ,12,8.89,79.17052423,104.92,-2.145789647,0.754579911,3.73
CAMH,103,Akurvik,AK22,NW,1460,15,15,-1.26,3.52, , , , ,10,8.8,78.07770608,95.61,-1.753229392,0.816626986,3.73
CAMH,104,Akurvik,AK22,NW,1460,15,15,-1.4,2.95, , , , ,14,11.09,107.0878519,112.56,-0.390867719,0.951384612,3.73
CAMH,105,Akurvik,AK22,NW,1460,15,15,-1.28,2.65, , , , ,6, , ,70.56, , ,3.73
CAMH,106,Akurvik,AK22,NW,1460,15,15,-0.83,2.56, , , , ,7,6.82,55.12050286,77.77,-3.235642449,0.708763056,3.73
CAMH,107,Akurvik,AK22,NW,1460,15,15,-0.78,2.48, , , , ,12,8.5,74.4646183,104.92,-2.537948475,0.709727586,3.73
CAMH,108,Akurvik,AK22,NW,1460,15,15,-1.75,3.04, , , , ,9,8.75,77.47234747,90.24,-1.418628059,0.858514489,3.73
CAMH,109,Akurvik,AK22,NW,1460,15,15,-0.48,3.24, , , , ,11,8.82,78.32020264,100.49,-2.015436124,0.779383049,3.73
CAMH,110,Akurvik,AK22,NW,1460,15,15,-0.7,0.92, , , , ,7,6.13,47.64690806,77.77,-4.303298848,0.61266437,3.73
CAMH,111,Akurvik,AK22,NW,1460,15,15,-0.75,3.79, , , , ,11,9.26,83.70556323,100.49,-1.525857888,0.832974059,3.73
CAMH,112,Akurvik,AK22,NW,1460,15,15,-0.96,3.13, , , , ,7, , ,77.77, , ,3.73
CAMH,113,Akurvik,AK22,NW,1460,15,15,-1.84,3.45, , , , ,9,8.49,74.34497505,90.24,-1.766113884,0.823858323,3.73
CAMH,114,Vatnskot,VTN,NW,987,10,10,-0.74,2.72, , , , ,9,9.66,88.68342753,90.24,-0.172952496,0.982750748,3.64
CAMH,115,Vatnskot,VTN,NW,987,10,10,-1.59,3.48, , , , ,20,9.88,91.45378861,128.29,-1.84181057,0.712867633,3.64
CAMH,116,Vatnskot,VTN,NW,987,10,10,-1.01,3.5, , , , ,6,7.04,57.56360277,70.56,-2.166066206,0.815810697,3.64
