Source,Historical_or_modern,CAMHID,Year,Century,Century_recoded,Length_cm,Age_yr,Predicted_length_cm,G_index,Region
Archaeo,950-1900,   495,1410,15,15,85.9335002221581,10,95.61,.898791969691016,W
Archaeo,950-1900,   496,1410,15,15,87.0488226894812,12,104.92,.829668534974087,W
Archaeo,950-1900,   497,1410,15,15,94.0766881905578,11,100.49,.936179601856482,W
Archaeo,950-1900,   498,1410,15,15,86.250945452991,11,100.49,.858303766076137,W
Archaeo,950-1900,   499,1410,15,15,84.6394118071479,14,112.56,.751949287554619,W
Archaeo,950-1900,   500,1410,15,15,84.6815480878395,10,95.61,.885697605771776,W
Archaeo,950-1900,   501,1410,15,15,103.383395073464,12,104.92,.985354508896907,W
Archaeo,950-1900,   502,1410,15,15,89.8801616297896,12,104.92,.856654228267152,W
Archaeo,950-1900,   503,1410,15,15,108.174536601557,13,108.93,.993064689264268,W
Archaeo,950-1900,   504,1410,15,15,89.9041660559015,12,104.92,.856883016163758,W
Archaeo,950-1900,   505,1410,15,15,94.6307440780616,16,118.86,.796152987363803,W
Archaeo,950-1900,   506,1410,15,15,86.5776956991464,10,95.61,.905529711318339,W
Archaeo,950-1900,   507,1410,15,15,84.4115902772866,11,100.49,.839999903246956,W
Archaeo,950-1900,   508,1410,15,15,83.7634892816128,10,95.61,.876095484589612,W
Archaeo,950-1900,   509,1410,15,15,65.5930434293297,6,70.56,.929606624565331,W
Archaeo,950-1900,   510,1410,15,15,78.3170764018246,10,95.61,.819130597236948,W
Archaeo,950-1900,   511,1410,15,15,92.8213152999639,11,100.49,.923687086276883,W
Archaeo,950-1900,   512,1410,15,15,88.2099416198141,11,100.49,.877798204993673,W
Archaeo,950-1900,   513,1410,15,15,99.6901572724561,10,95.61,1.04267500546445,W
Archaeo,950-1900,   514,1410,15,15,84.5736649010251,14,112.56,.751365182134196,W
Archaeo,950-1900,   515,1410,15,15,82.0905388947304,9,90.24,.909691255482385,W
Archaeo,950-1900,   516,1410,15,15,73.7198480512765,9,90.24,.816930940284536,W
Archaeo,950-1900,   517,1410,15,15,85.873253140368,10,95.61,.898161836004267,W
Archaeo,950-1900,   518,1410,15,15,96.4613914049203,10,95.61,1.00890483636566,W
Archaeo,950-1900,   519,1410,15,15,97.7914137567088,12,104.92,.932056936301075,W
Archaeo,950-1900,   520,1410,15,15,74.3369595602948,9,90.24,.823769498673479,W
Archaeo,950-1900,   521,1410,15,15,71.0507615341781,8,84.31,.842732315670479,W
Archaeo,950-1900,   522,1410,15,15,66.8183716611125,7,77.77,.859179267855375,W
Archaeo,950-1900,   523,1410,15,15,65.1956767383172,6,70.56,.923975010463679,W
Archaeo,950-1900,   524,1410,15,15,107.732935087723,10,95.61,1.12679568128568,W
Archaeo,950-1900,   525,1410,15,15,94.7195528186798,13,108.93,.869545146595794,W
Archaeo,950-1900,   526,1410,15,15,86.6040298651607,10,95.61,.905805144494935,W
Archaeo,950-1900,   527,1410,15,15,106.685542273278,12,104.92,1.01682750927638,W
Archaeo,950-1900,   528,1410,15,15,84,14,112.56,.75,W
